Week,Country,X,Y,,,,,
1,Greece,11854.95,7,,,,,
2,Greece,14173.41,9,,,,,
3,Greece,21372.06,11,,,,,
4,Greece,16955.97,20,,,,,
5,Greece,15257.67,3,,,,,
6,Greece,16814.7,3,,,,,
7,Greece,27618.03,3,,,,0,5.6011
8,Greece,24264.27,14,,,,80000,12.8011
9,Greece,24669.21,14,,,,,
1,Macedonia,16937.1,0,,,,,
2,Macedonia,21891.75,0,,,,,
3,Macedonia,18742.5,0,,,,,
4,Macedonia,20430.09,0,,,,,
5,Macedonia,17364.99,0,,,,,
6,Macedonia,21296.07,0,,,,,
7,Macedonia,20639.7,0,,,,,
8,Macedonia,27079.98,0,,,,,
9,Macedonia,23966.94,0,,,,,
1,Serbia,12668.4,2,,,,,
2,Serbia,20874.3,3,,,,,
3,Serbia,16131.3,17,,,,,
4,Serbia,17329.29,6,,,,,
5,Serbia,14499.3,2,,,,,
6,Serbia,18133.56,0,,,,,
7,Serbia,21629.1,1,,,,,
8,Serbia,26418,16,,,,,
9,Serbia,25063.44,6,,,,,
1,Croatia,0,1,,,,,
2,Croatia,0,0,,,,,
3,Croatia,18741.99,13,,,,,
4,Croatia,24486.12,7,,,,,
5,Croatia,17823.48,0,,,,,
6,Croatia,24357.6,0,,,,,
7,Croatia,18202.41,10,,,,,
8,Croatia,30465.36,12,,,,,
9,Croatia,26578.14,3,,,,,
1,Hungary,8032.5,28,,,,,
2,Hungary,16439.34,34,,,,,
3,Hungary,13588.44,30,,,,,
4,Hungary,26962.68,16,,,,,
5,Hungary,19072.47,0,,,,,
6,Hungary,24687.57,3,,,,,
7,Hungary,12409.32,10,,,,,
8,Hungary,110.67,13,,,,,
9,Hungary,55.08,5,,,,,
1,Austria,10503.45,17,,,,,
2,Austria,26161.98,17,,,,,
3,Austria,18226.89,17,,,,,
4,Austria,24668.7,5,,,,,
5,Austria,19864.5,0,,,,,
6,Austria,22654.2,0,,,,,
7,Austria,17998.92,10,,,,,
8,Austria,21991.2,13,,,,,
9,Austria,31037.58,6,,,,,
1,Slovenia,0,0,,,,,
2,Slovenia,0,0,,,,,
3,Slovenia,3625,13,,,,,
4,Slovenia,0,3,,,,,
5,Slovenia,0,0,,,,,
6,Slovenia,0,0,,,,,
7,Slovenia,13377,8,,,,,
8,Slovenia,67301,16,,,,,
9,Slovenia,52262,10,,,,,
